food_id,food_name,description,cuisine,meal_type,diet_type,health_goal,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,serving_size,budget,ingredients,allergens,health_score,recommendation_tags
12,port salut cheese,port salut cheese is a lunch food suitable for weight gain.,Continental,Lunch,Veg,Weight Gain,465.0,31.4,0.8,37.2,0.0,0.8,0.7,100 g,Medium,"Milk, Salt, Cultures",Milk,80,"High Protein, Low Carb"
13,swiss cheese,swiss cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,98.0,6.7,0.4,7.7,0.0,0.0,0.057,100 g,Medium,"Milk, Salt, Cultures",Milk,96,"Low Carb, Heart Healthy"
14,goat cheese hard,goat cheese hard is a lunch food suitable for maintain weight.,Continental,Lunch,Veg,Maintain Weight,128.0,8.6,0.6,10.1,0.0,0.6,0.076,100 g,Medium,"Milk, Salt, Cultures",Milk,94,"Low Carb, Heart Healthy"
15,gouda cheese,gouda cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,100.0,7.0,0.6,7.7,0.0,0.6,0.2,100 g,Medium,"Milk, Salt, Cultures",Milk,96,"Low Carb, Heart Healthy"
16,pepper jack cheese lucerne,pepper jack cheese lucerne is a lunch food suitable for weight loss.,Continental,Lunch,Veg,Weight Loss,75.0,5.0,0.0,6.0,2.5,0.0,0.0,100 g,Medium,"Milk, Salt, Cultures",Milk,99,"Low Carb, Heart Healthy"
17,caraway cheese,caraway cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,106.0,7.1,0.9,8.3,0.0,0.0,0.2,100 g,Medium,"Milk, Salt, Cultures",Milk,95,"Low Carb, Heart Healthy"
18,gjetost cheese,gjetost cheese is a nutritious lunch option that can support weight gain when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Gain,1058.0,21.9,96.8,67.0,0.0,0.0,1.4,100 g,Medium,"Milk, Salt, Cultures",Milk,40,High Protein
19,tilsit cheese,tilsit cheese is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Veg,Maintain Weight,136.0,9.8,0.8,10.4,0.0,0.0,0.3,100 g,Medium,"Milk, Salt, Cultures",Milk,95,"Low Carb, Heart Healthy"
20,goat cheese,goat cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,103.0,6.1,0.009,8.4,0.0,0.031,0.1,100 g,Medium,"Milk, Salt, Cultures",Milk,95,"Low Carb, Heart Healthy"
21,brick cheese,brick cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,111.0,7.0,0.8,8.9,0.0,0.2,0.2,100 g,Medium,"Milk, Salt, Cultures",Milk,95,"Low Carb, Heart Healthy"
22,asadero cheese,asadero cheese is a nutritious lunch option that can support weight gain when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Gain,402.0,25.5,3.2,31.9,0.0,3.2,0.7,100 g,Medium,"Milk, Salt, Cultures",Milk,81,"High Protein, Low Carb"
23,camembert cheese,camembert cheese is a lunch food suitable for weight loss.,Continental,Lunch,Veg,Weight Loss,90.0,5.9,0.1,7.3,0.0,0.1,0.3,100 g,Medium,"Milk, Salt, Cultures",Milk,96,"Low Carb, Heart Healthy"
24,provolone cheese reduced fat,provolone cheese reduced fat is a lunch food suitable for maintain weight.,Continental,Lunch,Veg,Maintain Weight,310.0,27.9,4.0,19.9,0.0,0.6,1.0,100 g,Medium,"Milk, Salt, Cultures",Milk,95,"High Protein, Low Carb, Heart Healthy"
25,roquefort cheese,roquefort cheese is a lunch food suitable for maintain weight.,Continental,Lunch,Veg,Maintain Weight,314.0,18.3,1.7,26.0,0.0,0.0,1.5,100 g,Medium,"Milk, Salt, Cultures",Milk,83,Low Carb
26,queso blanco cheese,queso blanco cheese is a lunch food suitable for weight gain.,Continental,Lunch,Veg,Weight Gain,366.0,24.0,3.0,28.7,0.0,2.1,0.8,100 g,Medium,"Milk, Salt, Cultures",Milk,84,"High Protein, Low Carb"
27,queso seco cheese,queso seco cheese is a lunch food suitable for maintain weight.,Continental,Lunch,Veg,Maintain Weight,315.0,23.8,2.0,23.6,0.0,0.5,1.8,100 g,Medium,"Milk, Salt, Cultures",Milk,89,"High Protein, Low Carb"
28,goat cheese soft,goat cheese soft is a lunch food suitable for weight loss.,Continental,Lunch,Veg,Weight Loss,75.0,5.2,0.0,6.0,0.0,0.3,0.1,100 g,Medium,"Milk, Salt, Cultures",Milk,97,"Low Carb, Heart Healthy"
29,mozzarella cheese,mozzarella cheese is a lunch food suitable for weight loss.,Continental,Lunch,Veg,Weight Loss,90.0,6.7,0.7,6.6,0.0,0.0,0.1,100 g,Medium,"Milk, Salt, Cultures",Milk,97,"Low Carb, Heart Healthy"
30,chihuahua cheese,chihuahua cheese is a lunch food suitable for weight gain.,Continental,Lunch,Veg,Weight Gain,494.0,28.5,7.3,39.2,0.0,7.3,0.8,100 g,Medium,"Milk, Salt, Cultures",Milk,75,"High Protein, Low Carb"
31,limburger cheese,limburger cheese is a lunch food suitable for weight loss.,Continental,Lunch,Veg,Weight Loss,98.0,6.0,0.1,8.2,0.0,0.1,0.2,100 g,Medium,"Milk, Salt, Cultures",Milk,95,"Low Carb, Heart Healthy"
32,muenster cheese,muenster cheese is a nutritious lunch option that can support weight gain when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Gain,486.0,30.9,1.5,39.7,0.0,1.5,0.8,100 g,Medium,"Milk, Salt, Cultures",Milk,77,"High Protein, Low Carb"
33,queso fresco cheese,queso fresco cheese is a lunch food suitable for weight gain.,Continental,Lunch,Veg,Weight Gain,365.0,22.1,3.6,29.1,0.0,2.8,0.9,100 g,Medium,"Milk, Salt, Cultures",Milk,82,"High Protein, Low Carb"
34,brie cheese,brie cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,100.0,6.2,0.1,8.3,0.0,0.1,0.2,100 g,Medium,"Milk, Salt, Cultures",Milk,95,"Low Carb, Heart Healthy"
35,pimento cheese,pimento cheese is a nutritious lunch option that can support weight gain when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Gain,525.0,31.0,2.4,43.7,0.1,0.9,2.0,100 g,Medium,"Milk, Salt, Cultures",Milk,72,"High Protein, Low Carb"
36,mexican cheese,mexican cheese is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Veg,Maintain Weight,316.0,27.7,3.8,21.7,0.0,0.6,0.9,100 g,Medium,"Milk, Salt, Cultures",Milk,93,"High Protein, Low Carb, Heart Healthy"
37,feta cheese,feta cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,80.0,4.3,1.2,6.4,0.0,0.0,0.3,100 g,Medium,"Milk, Salt, Cultures",Milk,96,"Low Carb, Heart Healthy"
38,mozzarella cheese fat free,mozzarella cheese fat free is a lunch food suitable for muscle gain.,Continental,Lunch,Veg,Muscle Gain,159.0,35.8,4.0,0.0,2.0,1.7,0.8,100 g,Medium,"Milk, Salt, Cultures",Milk,99,"High Protein, Low Fat, Low Carb, Heart Healthy"
39,provolone cheese,provolone cheese is a lunch food suitable for weight gain.,Continental,Lunch,Veg,Weight Gain,463.0,33.8,2.8,35.1,0.0,0.7,1.2,100 g,Medium,"Milk, Salt, Cultures",Milk,83,"High Protein, Low Carb"
40,anejo cheese,anejo cheese is a nutritious lunch option that can support weight gain when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Gain,492.0,28.3,6.1,39.6,0.0,6.1,1.5,100 g,Medium,"Milk, Salt, Cultures",Milk,74,"High Protein, Low Carb"
41,honey,honey is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,64.0,0.08,17.3,0.0,0.025,17.2,0.011,100 g,Medium,See recipe,None,97,"Low Fat, Heart Healthy"
42,apple butter,apple butter is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,35.0,0.045,8.5,0.063,0.3,7.1,0.003,100 g,Medium,See recipe,Milk,99,"Low Fat, Low Carb, Heart Healthy"
43,fruit jam,fruit jam is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,56.0,0.0,13.8,0.095,0.2,9.7,0.052,100 g,Medium,See recipe,None,97,"Low Fat, Low Carb, Heart Healthy"
44,chocolate hazelnut spread,chocolate hazelnut spread is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,100.0,1.0,11.5,5.5,1.0,10.0,0.099,100 g,Medium,See recipe,Nuts,94,"Low Carb, Heart Healthy"
45,peanut butter,peanut butter is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,88.0,3.3,3.6,7.4,0.9,1.0,0.085,100 g,Medium,See recipe,"Milk, Nuts",95,"Low Carb, Heart Healthy"
46,peanut spread,peanut spread is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,101.0,3.8,2.2,8.5,1.2,0.5,0.028,100 g,Medium,See recipe,Nuts,95,"Low Carb, Heart Healthy"
47,chicken spread,chicken spread is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Loss,88.0,10.1,2.3,9.8,0.2,0.3,0.4,100 g,Medium,"Chicken, Spices",None,98,"Low Carb, Heart Healthy"
48,cheese spread,cheese spread is a nutritious lunch option that can support weight gain when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Gain,708.0,17.0,8.4,68.6,0.0,8.4,1.2,100 g,Medium,"Milk, Salt, Cultures",Milk,40,Low Carb
49,tahini,tahini is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,86.0,2.7,3.9,7.2,1.4,0.0,0.098,100 g,Medium,See recipe,None,96,"Low Carb, Heart Healthy"
50,orange marmalade,orange marmalade is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,49.0,0.014,13.3,0.0,0.1,12.0,0.016,100 g,Medium,See recipe,None,98,"Low Fat, Low Carb, Heart Healthy"
51,american cheese spread,american cheese spread is a lunch food suitable for weight loss.,Continental,Lunch,Veg,Weight Loss,46.0,2.6,1.4,3.4,0.0,1.2,0.3,100 g,Medium,"Milk, Salt, Cultures",Milk,98,"Low Fat, Low Carb, Heart Healthy"
52,apricot jam,apricot jam is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,48.0,0.1,12.9,0.01,0.044,8.7,0.004,100 g,Medium,See recipe,None,98,"Low Fat, Low Carb, Heart Healthy"
53,chunky peanut butter,chunky peanut butter is a lunch food suitable for weight loss.,Continental,Lunch,Veg,Weight Loss,94.0,3.8,3.5,8.0,1.3,1.3,0.03,100 g,Medium,See recipe,"Milk, Nuts",95,"Low Carb, Heart Healthy"
54,ham and cheese spread,ham and cheese spread is a lunch food suitable for weight loss.,Continental,Lunch,Veg,Weight Loss,37.0,2.4,0.3,2.8,0.0,0.0,0.2,100 g,Medium,"Milk, Salt, Cultures",Milk,98,"Low Fat, Low Carb, Heart Healthy"
55,chicken and rice casserole homade,chicken and rice casserole homade is a lunch food suitable for weight loss.,Continental,Lunch,Non-Veg,Weight Loss,27.0,2.0,2.4,1.0,0.3,0.0,0.0,100 g,Medium,"Chicken, Spices",None,99,"Low Fat, Low Carb, Heart Healthy"
56,picnic loaf,picnic loaf is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,65.0,4.2,1.3,4.7,0.0,0.0,0.3,100 g,Medium,See recipe,None,97,"Low Fat, Low Carb, Heart Healthy"
57,corn tamale,corn tamale is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Vegan,Maintain Weight,309.0,5.8,44.3,12.0,5.3,12.3,0.5,100 g,Medium,See recipe,None,90,"High Fiber, Heart Healthy"
58,baked potato with cheese sauce bacon,baked potato with cheese sauce bacon is a lunch food suitable for weight gain.,Continental,Lunch,Veg,Weight Gain,451.0,18.4,44.4,25.9,0.0,0.0,1.0,100 g,Medium,"Milk, Salt, Cultures",Milk,77,Balanced Meal
59,chinese egg roll,chinese egg roll is a lunch food suitable for maintain weight.,Continental,Lunch,Non-Veg,Maintain Weight,223.0,7.4,24.3,10.6,2.3,0.0,0.4,100 g,Medium,Egg,Eggs,92,Heart Healthy
60,butter croissant,butter croissant is a lunch food suitable for maintain weight.,Continental,Lunch,Veg,Maintain Weight,231.0,4.7,26.1,12.0,1.5,6.4,0.2,100 g,Medium,See recipe,Milk,87,Balanced Meal
61,enchilada with cheese beef,enchilada with cheese beef is a lunch food suitable for maintain weight.,Continental,Lunch,Non-Veg,Maintain Weight,323.0,11.9,30.5,17.6,0.0,0.0,1.3,100 g,Medium,"Milk, Salt, Cultures",Milk,83,Balanced Meal
62,corned beef hash with potatoes,corned beef hash with potatoes is a lunch food suitable for weight gain.,Continental,Lunch,Non-Veg,Weight Gain,387.0,20.6,21.9,24.2,2.6,0.8,1.0,100 g,Medium,"Beef, Spices",None,87,High Protein
63,biscuit with egg cheese bacon,biscuit with egg cheese bacon is a lunch food suitable for weight gain.,Continental,Lunch,Non-Veg,Weight Gain,436.0,17.4,35.4,25.3,0.3,2.5,1.2,100 g,Medium,"Milk, Salt, Cultures","Milk, Eggs",77,Balanced Meal
64,bagel with ham egg cheese,bagel with ham egg cheese is a lunch food suitable for weight gain.,Continental,Lunch,Non-Veg,Weight Gain,483.0,26.7,52.4,18.5,0.4,7.0,1.3,100 g,Medium,"Milk, Salt, Cultures","Milk, Eggs",87,High Protein
65,quesadilla with chicken,quesadilla with chicken is a lunch food suitable for weight gain.,Continental,Lunch,Non-Veg,Weight Gain,529.0,27.1,43.3,27.5,3.1,3.4,1.3,100 g,Medium,"Chicken, Spices",None,83,High Protein
66,corn rice,corn rice is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,110.0,1.8,25.2,0.3,0.4,3.0,0.2,100 g,Medium,Rice,None,96,"Low Fat, Heart Healthy"
67,kung pao chicken,kung pao chicken is a lunch food suitable for weight gain.,Continental,Lunch,Non-Veg,Weight Gain,779.0,59.0,41.5,42.2,9.1,18.3,2.4,100 g,Medium,"Chicken, Spices",None,97,"High Protein, High Fiber, Heart Healthy"
68,beef empanada,beef empanada is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Maintain Weight,298.0,10.1,27.8,16.3,1.8,1.6,0.4,100 g,Medium,"Beef, Spices",None,86,Balanced Meal
69,frijoles with cheese,frijoles with cheese is a lunch food suitable for maintain weight.,Continental,Lunch,Veg,Maintain Weight,225.0,11.4,28.7,7.8,0.0,0.0,0.9,100 g,Medium,"Milk, Salt, Cultures",Milk,93,Heart Healthy
70,burrito with beef,burrito with beef is a lunch food suitable for maintain weight.,Continental,Lunch,Non-Veg,Maintain Weight,285.0,9.1,43.9,8.1,4.4,4.1,0.5,100 g,Medium,"Beef, Spices",None,95,Heart Healthy
71,crispy chicken sandwich,crispy chicken sandwich is a lunch food suitable for maintain weight.,Continental,Lunch,Non-Veg,Maintain Weight,350.0,14.8,33.2,17.6,0.0,3.9,0.7,100 g,Medium,"Chicken, Spices",None,84,Balanced Meal
72,enchilada with cheese,enchilada with cheese is a lunch food suitable for weight gain.,Continental,Lunch,Veg,Weight Gain,374.0,15.4,21.2,25.3,2.6,3.6,0.7,100 g,Medium,"Milk, Salt, Cultures",Milk,82,Balanced Meal
73,pork egg roll,pork egg roll is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Maintain Weight,189.0,8.4,25.1,6.1,1.8,4.5,0.3,100 g,Medium,Egg,Eggs,96,Heart Healthy
74,corn on the cob with butter,corn on the cob with butter is a lunch food suitable for weight loss.,Continental,Lunch,Veg,Weight Loss,155.0,4.5,31.9,3.4,0.0,0.0,0.056,100 g,Medium,See recipe,Milk,94,"Low Fat, Heart Healthy"
75,pancakes with butter syrup,pancakes with butter syrup is a dessert food suitable for maintain weight.,Continental,Dessert,Veg,Maintain Weight,260.0,4.1,45.4,7.0,0.0,0.0,0.6,100 g,Medium,See recipe,Milk,86,Balanced Meal
76,burrito with beans,burrito with beans is a lunch food suitable for maintain weight.,Continental,Lunch,Vegan,Maintain Weight,224.0,7.0,35.7,6.7,0.0,0.0,0.5,100 g,Medium,See recipe,None,90,Heart Healthy
77,scrambled eggs,scrambled eggs is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Loss,100.0,6.5,1.0,7.6,0.0,0.8,0.1,100 g,Medium,Egg,Eggs,96,"Low Carb, Heart Healthy"
78,baked potato with sour cream,baked potato with sour cream is a lunch food suitable for weight gain.,Continental,Lunch,Veg,Weight Gain,393.0,6.7,50.0,22.3,0.0,0.0,0.2,100 g,Medium,See recipe,Milk,72,Balanced Meal
79,turkey and gravy,turkey and gravy is a lunch food suitable for weight loss.,Continental,Lunch,Non-Veg,Weight Loss,161.0,14.1,11.1,6.3,0.0,0.0,1.3,100 g,Medium,See recipe,None,99,"Low Carb, Heart Healthy"
80,chicken egg roll,chicken egg roll is a lunch food suitable for weight loss.,Continental,Lunch,Non-Veg,Weight Loss,158.0,8.4,22.8,3.6,1.9,4.5,0.4,100 g,Medium,"Chicken, Spices",Eggs,99,"Low Fat, Heart Healthy"
81,vegetable egg roll,vegetable egg roll is a lunch food suitable for weight loss.,Continental,Lunch,Non-Veg,Weight Loss,153.0,5.2,25.0,3.6,2.2,5.3,0.4,100 g,Medium,Egg,Eggs,98,"Low Fat, Heart Healthy"
82,ham cheese roll,ham cheese roll is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,67.0,3.8,1.1,5.2,0.0,0.0,0.3,100 g,Medium,"Milk, Salt, Cultures",Milk,97,"Low Carb, Heart Healthy"
83,biscuit with ham,biscuit with ham is a lunch food suitable for weight gain.,Continental,Lunch,Vegan,Weight Gain,386.0,13.4,43.8,18.4,0.8,2.2,1.1,100 g,Medium,See recipe,None,82,Balanced Meal
84,lemon chicken,lemon chicken is a nutritious lunch option that can support weight gain when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Gain,1440.0,68.6,122.0,74.9,7.0,55.2,1.5,100 g,Medium,"Chicken, Spices",None,48,"High Protein, High Fiber"
85,hummus,hummus is a nutritious lunch option that can support weight gain when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Gain,435.0,12.0,49.5,21.1,9.8,0.7,0.6,100 g,Medium,See recipe,None,90,"High Fiber, Heart Healthy"
86,croissant with egg cheese,croissant with egg cheese is a lunch food suitable for weight gain.,Continental,Lunch,Non-Veg,Weight Gain,368.0,12.8,24.3,24.7,0.0,0.0,0.6,100 g,Medium,"Milk, Salt, Cultures","Milk, Eggs",77,Balanced Meal
87,enchirito with cheese beef beans,enchirito with cheese beef beans is a lunch food suitable for maintain weight.,Continental,Lunch,Non-Veg,Maintain Weight,344.0,17.9,33.8,16.1,0.0,0.0,1.3,100 g,Medium,"Milk, Salt, Cultures",Milk,87,Balanced Meal
88,sweet sour pork,sweet sour pork is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Loss,38.0,1.2,3.3,2.2,0.1,1.4,0.003,100 g,Medium,See recipe,None,98,"Low Fat, Low Carb, Heart Healthy"
89,crab cake,crab cake is a nutritious dessert option that can support maintain weight when included as part of a balanced diet.,Continental,Dessert,Vegan,Maintain Weight,160.0,11.3,5.1,10.4,0.2,0.0,0.5,100 g,Medium,See recipe,None,95,"Low Carb, Heart Healthy"
90,egg dinner roll,egg dinner roll is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Non-Veg,Weight Loss,107.0,3.3,18.2,2.2,1.3,1.5,0.2,100 g,Medium,Egg,Eggs,98,"Low Fat, Heart Healthy"
91,english muffin with egg cheese sausage,english muffin with egg cheese sausage is a lunch food suitable for weight gain.,Continental,Lunch,Non-Veg,Weight Gain,472.0,22.1,28.8,29.9,0.3,2.5,0.8,100 g,Medium,"Milk, Salt, Cultures","Milk, Eggs",77,High Protein
92,buttermilk pancakes,buttermilk pancakes is a dessert food suitable for weight loss.,Continental,Dessert,Veg,Weight Loss,86.0,2.6,10.9,3.5,0.0,0.0,0.2,100 g,Medium,Milk,Milk,96,"Low Fat, Low Carb, Heart Healthy"
93,omelet,omelet is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Vegan,Weight Loss,94.0,6.4,0.4,7.1,0.0,0.2,0.013,100 g,Medium,See recipe,None,96,"Low Carb, Heart Healthy"
94,taco with chicken cheese lettuce,taco with chicken cheese lettuce is a lunch food suitable for maintain weight.,Continental,Lunch,Non-Veg,Maintain Weight,185.0,13.0,19.3,6.2,1.2,1.3,0.6,100 g,Medium,"Milk, Salt, Cultures",Milk,99,Heart Healthy
95,spinach souffle,spinach souffle is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Vegan,Maintain Weight,230.0,10.7,8.0,17.6,1.0,2.5,0.8,100 g,Medium,See recipe,None,88,Low Carb
96,english muffin with cheese sausage,english muffin with cheese sausage is a lunch food suitable for weight gain.,Continental,Lunch,Veg,Weight Gain,365.0,14.3,27.3,22.3,0.5,2.1,0.7,100 g,Medium,"Milk, Salt, Cultures",Milk,81,Balanced Meal
97,potato gratin,potato gratin is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Vegan,Maintain Weight,328.0,12.4,27.6,18.6,4.4,0.0,1.1,100 g,Medium,See recipe,None,89,Balanced Meal
98,biscuit with egg,biscuit with egg is a lunch food suitable for weight gain.,Continental,Lunch,Non-Veg,Weight Gain,436.0,17.4,35.4,25.3,0.3,2.5,1.2,100 g,Medium,Egg,Eggs,77,Balanced Meal
99,french fries deep fried,french fries deep fried is a lunch food suitable for maintain weight.,Continental,Lunch,Vegan,Maintain Weight,222.0,2.4,29.4,10.5,2.7,0.2,0.1,100 g,Medium,See recipe,None,89,Balanced Meal
100,sweet sour chicken,sweet sour chicken is a lunch food suitable for weight loss.,Continental,Lunch,Non-Veg,Weight Loss,46.0,1.8,4.4,2.3,0.2,2.1,0.043,100 g,Medium,"Chicken, Spices",None,98,"Low Fat, Low Carb, Heart Healthy"
101,burrito with beans beef,burrito with beans beef is a lunch food suitable for weight gain.,Continental,Lunch,Non-Veg,Weight Gain,460.0,27.8,47.0,18.0,7.2,5.3,1.4,100 g,Medium,"Beef, Spices",None,99,"High Protein, High Fiber, Heart Healthy"
102,nachos with cinnamon sugar,nachos with cinnamon sugar is a lunch food suitable for weight gain.,Continental,Lunch,Vegan,Weight Gain,592.0,7.2,63.4,36.0,0.0,0.0,0.4,100 g,Medium,See recipe,None,55,Balanced Meal
103,arroz con grandules,arroz con grandules is a lunch food suitable for maintain weight.,Continental,Lunch,Vegan,Maintain Weight,209.0,4.0,35.4,5.7,1.6,0.0,0.7,100 g,Medium,See recipe,None,92,Heart Healthy
104,chili con carne,chili con carne is a nutritious lunch option that can support maintain weight when included as part of a balanced diet.,Continental,Lunch,Vegan,Maintain Weight,271.0,14.7,33.1,8.8,8.3,4.7,1.1,100 g,Medium,See recipe,None,99,"High Fiber, Heart Healthy"
105,arroz con abichuelas,arroz con abichuelas is a lunch food suitable for maintain weight.,Continental,Lunch,Vegan,Maintain Weight,223.0,6.2,37.3,5.4,4.1,0.2,0.6,100 g,Medium,See recipe,None,97,Heart Healthy
106,biscuit with sausage,biscuit with sausage is a lunch food suitable for weight gain.,Continental,Lunch,Vegan,Weight Gain,412.0,10.7,33.3,27.1,0.4,1.8,0.9,100 g,Medium,See recipe,None,72,Balanced Meal
107,vegetarian stew,vegetarian stew is a nutritious lunch option that can support muscle gain when included as part of a balanced diet.,Continental,Lunch,Vegan,Muscle Gain,304.0,42.0,17.3,7.4,2.7,3.1,1.0,100 g,Medium,See recipe,None,99,"High Protein, Heart Healthy"
108,chicken sandwich with cheese,chicken sandwich with cheese is a lunch food suitable for weight gain.,Continental,Lunch,Non-Veg,Weight Gain,632.0,29.4,41.6,38.8,0.0,0.0,1.2,100 g,Medium,"Milk, Salt, Cultures",Milk,69,High Protein
